163,25,6,3,15,15,0,\N,60,15,203.443
164,25,3,3,19,16,0,\N,38,17,202.776
165,25,7,5,14,17,0,\N,28,16,203.022
166,25,21,10,17,18,0,\N,53,19,202.141
167,25,16,10,18,19,0,\N,41,18,202.385
168,25,18,11,16,20,0,\N,15,20,196.345
169,26,1,1,4,1,10,1:39:09.440,16,3,199.398
170,26,2,2,5,2,8,+1:08.577,21,2,199.609
171,26,22,11,16,3,6,+1:22.273,21,11,198.183
172,26,8,6,3,4,5,\N,18,1,200.842
173,26,5,1,1,5,4,\N,17,5,198.728
174,26,4,4,6,6,3,\N,17,6,198.722
175,26,15,7,14,7,2,\N,22,13,197.292
176,26,6,3,15,8,1,\N,21,14,196.310
177,26,3,3,20,9,0,\N,21,16,195.234
178,26,17,9,2,10,0,\N,17,4,199.109
179,26,7,5,13,11,0,\N,21,9,198.224
180,26,10,7,12,12,0,\N,19,15,195.619
181,26,13,6,9,13,0,\N,19,8,198.458
182,26,9,2,10,14,0,\N,22,12,197.859
183,26,18,11,17,15,0,\N,21,10,198.205
184,26,12,4,7,16,0,\N,21,7,198.573
185,26,21,10,19,17,0,\N,21,17,194.960
186,26,16,10,18,18,0,\N,5,18,188.545
187,26,20,5,8,19,0,\N,\N,\N,\N
188,26,14,9,11,20,0,\N,\N,\N,\N
189,27,1,1,1,1,10,1:31:20.874,17,2,216.552
190,27,12,4,17,2,8,+5.586,66,9,214.099
191,27,13,6,2,3,6,+9.339,19,5,215.241
192,27,2,2,12,4,5,+9.825,52,1,216.700
193,27,5,1,3,5,4,+12.411,63,4,215.261
194,27,8,6,6,6,3,+14.403,66,3,215.692
195,27,9,2,7,7,2,+22.682,17,6,214.937
196,27,20,5,9,8,1,+33.299,20,8,214.484
197,27,15,7,4,9,0,+37.158,17,12,213.785
198,27,3,3,13,10,0,+37.625,34,15,212.799
199,27,4,4,5,11,0,+38.600,17,13,213.530
200,27,7,5,15,12,0,+39.111,63,10,213.935
201,27,14,9,10,13,0,+54.971,18,11,213.866
202,27,6,3,16,14,0,+1:00.003,23,17,211.947
203,27,16,10,19,15,0,+1:09.488,66,18,211.408
204,27,21,10,20,16,0,+1:24.093,67,20,210.546
205,27,18,11,14,17,0,\N,56,16,212.097
206,27,22,11,18,18,0,\N,30,19,211.145
207,27,17,9,8,19,0,\N,20,14,213.278
208,27,10,7,11,20,0,\N,24,7,214.652
209,28,5,1,2,1,10,1:37:27.067,19,7,192.917
210,28,10,7,5,2,8,+11.061,42,6,193.111
211,28,8,6,6,3,6,+16.856,61,1,194.243
